Customer_ID,Industry,Company_Size,Subscription_Plan,Subscription_Fee_USD,Marketing_Channel,Website_Visits,Trial_Used,Sales_Contacted,Conversion_Status,Lifetime_Value,Churn_Status,Satisfaction_Score,Avg_Session_Time_mins,Features_Used_Count,Files_Created,Days_Active_in_Trial,Support_Tickets_Raised,Email_Click_Through_Rate,Competitor_Subscription_Price,AI_Feature_Usage_Flag,Cloud_Storage_Usage_GB,Plan_Upgrade_Flag,Plan_Downgrade_Flag,Login_Frequency_per_Week,Discount_Offered_USD,Engagement_Score,Trial_Dropoff_Flag,Last_Login_Days_Ago,Region,Device_Type
CUST_0001,Education,Mid,Business,48.38,Email,16,1,1,1,10325.97,0,5,74,5,154,29,5,0.97,29.51,1,48.68,0,1,10,2.65,79,1,17,Australia,Desktop App
CUST_0002,IT,Mid,Basic,95.89,Organic,3,1,0,0,1192.04,0,9,26,3,153,5,4,0.54,83.27,0,10.32,0,0,11,14.17,83,0,28,Australia,Mobile
CUST_0003,Marketing,Mid,Enterprise,82.06,Social Media,9,0,0,0,13396.73,0,7,164,13,66,7,2,0.27,66.27,1,40.57,0,0,3,23.01,22,1,59,Asia,Web
CUST_0004,Finance,Small,Basic,75.07,Referral,41,1,0,0,11768.32,0,7,26,11,91,22,1,0.58,112.09,1,30.78,0,0,1,48.73,58,1,6,North America,Desktop App
CUST_0005,Design,Enterprise,Basic,80.08,Organic,18,0,1,0,6612.16,0,10,95,11,79,28,4,0.83,40.41,0,25.6,0,0,14,39.08,97,1,0,Asia,Mobile
CUST_0006,Marketing,Small,Basic,85.47,Referral,18,1,0,1,3268.8,1,10,22,3,136,28,1,0.74,15.69,1,28.76,0,1,13,22.89,50,1,15,Europe,Mobile
CUST_0007,Education,Enterprise,Business,44.26,Paid Ads,3,0,0,0,6811.36,0,8,25,8,35,20,5,0.11,94.02,1,28.95,0,0,5,30.98,10,1,22,North America,Desktop App
CUST_0008,Design,Enterprise,Pro,23.76,Organic,19,1,0,0,883.26,0,6,63,8,4,12,0,0.83,126.07,0,9.64,0,0,13,10.05,57,1,34,Europe,Mobile
CUST_0009,Finance,Mid,Basic,71.52,Email,19,0,1,0,4565.8,0,6,111,3,110,27,4,0.63,94.95,0,8.2,0,0,5,37.26,23,0,24,North America,Mobile
CUST_0010,Healthcare,Mid,Basic,64.85,Organic,32,0,0,0,14739.83,0,4,169,21,144,22,4,0.17,66.94,1,34.37,0,0,9,17.97,65,1,39,Australia,Desktop App
CUST_0011,Design,Mid,Basic,31.7,Email,23,1,1,0,1550.51,0,10,163,13,121,11,2,0.14,21.77,1,1.41,0,0,11,13.65,24,1,14,Australia,Desktop App
CUST_0012,Finance,Mid,Business,77.01,Organic,41,1,0,0,14875.28,0,2,56,8,60,9,0,0.35,39.62,0,32.42,0,0,13,9.27,78,1,23,Australia,Mobile
CUST_0013,IT,Mid,Enterprise,93.18,Social Media,40,1,0,1,2276.85,0,6,57,14,162,12,2,0.29,88.42,0,5.68,0,0,13,33.7,55,1,17,Australia,Mobile
CUST_0014,Finance,Small,Business,27.38,Email,35,0,0,0,5594.98,0,5,73,24,166,2,2,0.65,78.27,0,45.14,0,0,11,15.98,60,0,28,Australia,Desktop App
CUST_0015,Marketing,Enterprise,Basic,14.53,Paid Ads,27,1,0,0,7382.1,0,5,36,3,86,30,1,0.31,65.57,0,32.29,0,0,4,21.42,77,0,33,Australia,Desktop App
CUST_0016,Design,Mid,Business,58.85,Paid Ads,37,1,0,0,10768.34,0,2,78,22,95,28,1,0.77,81.77,0,23.66,0,0,7,5.22,6,0,20,Europe,Mobile
CUST_0017,IT,Mid,Pro,115.81,Social Media,32,0,0,0,658.61,0,10,80,1,197,15,2,0.22,14.68,1,11.16,0,0,11,48.33,61,0,5,Australia,Desktop App
CUST_0018,IT,Enterprise,Business,89.82,Paid Ads,8,1,0,0,14146.21,0,1,118,15,5,26,3,0.27,111.84,1,15.1,0,0,4,24.13,87,0,54,Australia,Desktop App
CUST_0019,Design,Mid,Enterprise,14.44,Organic,39,0,0,0,5650.12,0,1,170,8,66,27,5,0.42,66.03,1,7.16,0,0,14,12.74,45,1,34,Europe,Desktop App
CUST_0020,Design,Mid,Pro,79.51,Referral,8,1,0,0,4618.12,0,4,100,24,181,22,0,0.7,12.06,0,21.01,0,0,3,43.4,70,1,4,Asia,Mobile
CUST_0021,Design,Small,Enterprise,117.51,Paid Ads,7,0,1,0,12434.17,0,1,74,20,150,27,4,0.73,82.98,0,16.49,0,0,8,9.1,15,1,24,North America,Mobile
CUST_0022,Education,Enterprise,Business,88.17,Paid Ads,34,0,1,0,12463.28,0,1,166,19,183,13,0,0.53,120.24,0,6.44,0,0,1,10.76,13,0,50,Europe,Desktop App
CUST_0023,Marketing,Small,Pro,98.91,Organic,22,1,1,1,14810.23,0,4,142,17,61,11,3,0.1,51.82,0,48.27,1,1,12,23.21,95,1,51,North America,Web
CUST_0024,Marketing,Enterprise,Basic,27.27,Email,11,0,0,0,8546.03,0,5,102,19,167,26,0,0.46,112.05,1,8.61,0,0,8,41.07,54,0,18,Asia,Desktop App
CUST_0025,Healthcare,Enterprise,Business,12.62,Social Media,15,0,0,0,277.92,0,8,30,13,104,7,1,0.43,9.66,0,49.89,0,0,6,49.59,88,0,28,Australia,Mobile
CUST_0026,Finance,Enterprise,Enterprise,105.34,Email,26,0,1,0,1810.76,0,7,121,9,82,27,5,0.45,48.89,1,31.25,0,0,5,24.77,56,1,13,Australia,Web
